ID_station;nom_station;adresse_station;longitude_WSG84;latitude_WSG84;nom_porteur;type_charge;nbre_pdc;type_connecteur;date_maj;observation
REN067;ETABLISSEMENT RENAULT DE PLOUMAGOAR;;48,546806;-3,097734;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN068;ETABLISSEMENT RENAULT DE GUERET;;46,176634;1,872141;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN069;ETABLISSEMENT RENAULT DE BERGERAC;;44,868522;0,503596;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN070;ETABLISSEMENT RENAULT DE SARLAT-LA-CANEDA;;44,883471;1,218020;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN071;ETABLISSEMENT RENAULT DE TRELISSAC;;45,201843;0,799470;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN072;ETABLISSEMENT RENAULT DE BESANCON;;47,242157;5,994512;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN073;ETABLISSEMENT RENAULT DE MONTBELIARD;;47,503446;6,813972;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN074;ETABLISSEMENT RENAULT DE PONTARLIER;;46,909382;6,334066;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN075;ETABLISSEMENT RENAULT DE MONTELIMAR;;44,580615;4,753539;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN076;ETABLISSEMENT RENAULT DE VALENCE;;44,921907;4,932674;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN077;ETABLISSEMENT RENAULT DE EVREUX;;49,002106;1,146787;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN078;ETABLISSEMENT RENAULT DE LOUVIERS;;49,207998;1,182197;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN079;ETABLISSEMENT RENAULT DE PONT-AUDEMER;;49,351675;0,495405;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN080;ETABLISSEMENT RENAULT DE SAINT-JUST;;49,111506;1,450909;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN081;ETABLISSEMENT RENAULT DE CHARTRES;;48,451907;1,524617;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN082;ETABLISSEMENT RENAULT DE DREUX;;48,746229;1,345312;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN083;ETABLISSEMENT RENAULT DE MAINTENON;;48,580751;1,566065;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN084;ETABLISSEMENT RENAULT DE CHATEAUDUN;;48,058277;1,328237;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN085;ETABLISSEMENT RENAULT DE QUIMPER;;48,000621;-4,149730;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN086;ETABLISSEMENT RENAULT DE CHATEAULIN;;48,193518;-4,096869;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN087;ETABLISSEMENT RENAULT DE BREST;;48,404489;-4,464629;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN088;ETABLISSEMENT RENAULT DE CARHAIX-PLOUGUER;;48,276758;-3,548992;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN089;ETABLISSEMENT RENAULT DE MORLAIX;;48,579370;-3,801808;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN090;ETABLISSEMENT RENAULT DE CONCARNEAU;;47,905077;-3,916087;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN091;ETABLISSEMENT RENAULT DE NIMES;;43,818254;4,340480;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN092;ETABLISSEMENT RENAULT DE ALES;;44,108375;4,096592;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN093;ETABLISSEMENT RENAULT DE TOULOUSE;;43,631125;1,431950;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN094;ETABLISSEMENT RENAULT DE TOULOUSE;;43,571686;1,498247;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN095;ETABLISSEMENT RENAULT DE REVEL;;43,465918;2,008786;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN096;ETABLISSEMENT RENAULT DE MURET;;43,437363;1,311215;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN097;ETABLISSEMENT RENAULT DE AUCH;;43,654337;0,622538;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN098;ETABLISSEMENT RENAULT DE MIRANDE;;43,504751;0,397204;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN099;ETABLISSEMENT RENAULT DE LE BOUSCAT;;44,865105;-0,604657;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN100;ETABLISSEMENT RENAULT DE VILLENAVE-D'ORNON;;44,771807;-0,562477;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN101;ETABLISSEMENT RENAULT DE LANGON;;44,523584;-0,240552;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN102;ETABLISSEMENT RENAULT DE LA TESTE-DE-BUCH;;44,617507;-1,123529;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN103;ETABLISSEMENT RENAULT DE LORMONT;;44,879514;-0,512192;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN104;ETABLISSEMENT RENAULT DE LIBOURNE;;44,940589;-0,233009;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN105;ETABLISSEMENT RENAULT DE PESSAC;;44,799862;-0,662273;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN106;ETABLISSEMENT RENAULT DE PUGNAC;;45,070855;-0,491635;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN107;ETABLISSEMENT RENAULT DE MONTPELLIER;;43,584628;3,881447;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN108;ETABLISSEMENT RENAULT DE PEZENAS;;43,450615;3,415778;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN109;ETABLISSEMENT RENAULT DE SETE;;43,419557;3,714513;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN110;ETABLISSEMENT RENAULT DE BEZIERS;;43,334044;3,230726;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN111;ETABLISSEMENT RENAULT DE CLERMONT-L'HERAULT;;43,633331;3,439943;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN112;ETABLISSEMENT RENAULT DE SAINT-GELY-DU-FESC;;43,683905;3,809806;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN113;ETABLISSEMENT RENAULT DE FOUGERES;;48,348400;-1,180910;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN114;ETABLISSEMENT RENAULT DE SAINT-MALO;;48,654086;-1,993009;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN115;ETABLISSEMENT RENAULT DE VITRE;;48,120690;-1,177819;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN116;ETABLISSEMENT RENAULT DE REDON;;47,668616;-2,069067;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN117;ETABLISSEMENT RENAULT DE RENNES;;48,130590;-1,638407;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN118;ETABLISSEMENT RENAULT DE SAINT-MAUR;;46,778225;1,650160;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN119;ETABLISSEMENT RENAULT DE CHAMBRAY-LES-TOURS;;47,348347;0,700787;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN120;ETABLISSEMENT RENAULT DE CHINON;;47,182085;0,273962;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN121;ETABLISSEMENT RENAULT DE LOCHES;;47,141418;1,001092;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
