n_amenageur;n_operateur;n_enseigne;ID_station;n_station;ad_station;code_insee;Xlongitude;Xlatitude;nbre_pdc;ID_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
L'Assiette Champenoise;L'Assiette Champenoise;TESLA Recharge à Destination;;L'Assiette Champenoise;40 Avenue Paul Vaillant-Couturier , Tinqueux,  51430 France;51058;4.003977;49.247959;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
L'Assiette Champenoise;L'Assiette Champenoise;TESLA Recharge à Destination;;L'Assiette Champenoise;40 Avenue Paul Vaillant-Couturier , Tinqueux,  51430 France;51058;4.003977;49.247959;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
L'Assiette Champenoise;L'Assiette Champenoise;TESLA Recharge à Destination;;L'Assiette Champenoise;40 Avenue Paul Vaillant-Couturier , Tinqueux,  51430 France;51058;4.003977;49.247959;3;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
L'Atelier;L'Atelier;TESLA Recharge à Destination;;L'Atelier;24 Avenue des Palanques, Portet-sur-Garonne,  31120 France;31259;1.403825;43.536844;4;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
L'Atelier;L'Atelier;TESLA Recharge à Destination;;L'Atelier;24 Avenue des Palanques, Portet-sur-Garonne,  31120 France;31259;1.403825;43.536844;4;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
L'Atelier;L'Atelier;TESLA Recharge à Destination;;L'Atelier;24 Avenue des Palanques, Portet-sur-Garonne,  31120 France;31259;1.403825;43.536844;4;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
L'Atelier;L'Atelier;TESLA Recharge à Destination;;L'Atelier;24 Avenue des Palanques, Portet-sur-Garonne,  31120 France;31259;1.403825;43.536844;4;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
L'atelier d'Edmond;L'atelier d'Edmond;TESLA Recharge à Destination;;L'atelier d'Edmond;Rue du Fornet, Val-d'Isère,  73150 France;73304;7.010721;45.450699;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
L'atelier d'Edmond;L'atelier d'Edmond;TESLA Recharge à Destination;;L'atelier d'Edmond;Rue du Fornet, Val-d'Isère,  73150 France;73304;7.010721;45.450699;3;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
L'atelier d'Edmond;L'atelier d'Edmond;TESLA Recharge à Destination;;L'atelier d'Edmond;Rue du Fornet, Val-d'Isère,  73150 France;73304;7.010721;45.450699;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
L'Enclos Béarnais Maison d'hôtes;L'Enclos Béarnais Maison d'hôtes;TESLA Recharge à Destination;;L'Enclos Béarnais Maison d'hôtes;87 rue des Pyrénées, Bénéjacq,  64800 France;64145;-0.217559;43.19085;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
L'Enclos Béarnais Maison d'hôtes;L'Enclos Béarnais Maison d'hôtes;TESLA Recharge à Destination;;L'Enclos Béarnais Maison d'hôtes;87 rue des Pyrénées, Bénéjacq,  64800 France;64145;-0.217559;43.19085;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
L'Enclos Béarnais Maison d'hôtes;L'Enclos Béarnais Maison d'hôtes;TESLA Recharge à Destination;;L'Enclos Béarnais Maison d'hôtes;87 rue des Pyrénées, Bénéjacq,  64800 France;64145;-0.217559;43.19085;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
L'Impérial Palace;L'Impérial Palace;TESLA Recharge à Destination;;L'Impérial Palace;Allée de L'Impérial, Annecy,  74000 France;74010;6.144433;45.904044;3;;17;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
L'Impérial Palace;L'Impérial Palace;TESLA Recharge à Destination;;L'Impérial Palace;Allée de L'Impérial, Annecy,  74000 France;74010;6.144433;45.904044;3;;17;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
L'Impérial Palace;L'Impérial Palace;TESLA Recharge à Destination;;L'Impérial Palace;Allée de L'Impérial, Annecy,  74000 France;74010;6.144433;45.904044;3;;17;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
L'Oustalet Gigondas;L'Oustalet Gigondas;TESLA Recharge à Destination;;L'Oustalet Gigondas;Place Gabriel Andéol, Gigondas,  84190 France;84059;5.004404;44.163727;3;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
L'Oustalet Gigondas;L'Oustalet Gigondas;TESLA Recharge à Destination;;L'Oustalet Gigondas;Place Gabriel Andéol, Gigondas,  84190 France;84059;5.004404;44.163727;3;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
L'Oustalet Gigondas;L'Oustalet Gigondas;TESLA Recharge à Destination;;L'Oustalet Gigondas;Place Gabriel Andéol, Gigondas,  84190 France;84059;5.004404;44.163727;3;;14;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
l'Oustau de Baumanière;l'Oustau de Baumanière;TESLA Recharge à Destination;;l'Oustau de Baumanière;Mas Baumanière, Les Baux-de-Provence,  13520 France;13058;4.795182;43.747114;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
l'Oustau de Baumanière;l'Oustau de Baumanière;TESLA Recharge à Destination;;l'Oustau de Baumanière;Mas Baumanière, Les Baux-de-Provence,  13520 France;13058;4.795182;43.747114;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
La Bastide de Gordes;La Bastide de Gordes;TESLA Recharge à Destination;;La Bastide de Gordes;Rue de la Combe, Gordes,  84220 France;84051;5.198637;43.911707;2;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
La Bastide de Gordes;La Bastide de Gordes;TESLA Recharge à Destination;;La Bastide de Gordes;Rue de la Combe, Gordes,  84220 France;84051;5.198637;43.911707;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
La Bastide de Tourtour Hôtel & Spa ;La Bastide de Tourtour Hôtel & Spa ;TESLA Recharge à Destination;;La Bastide de Tourtour Hôtel & Spa ;Route de Flayosc, Tourtour,  83690 France;83149;6.30758;43.58767;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
La Bastide de Tourtour Hôtel & Spa ;La Bastide de Tourtour Hôtel & Spa ;TESLA Recharge à Destination;;La Bastide de Tourtour Hôtel & Spa ;Route de Flayosc, Tourtour,  83690 France;83149;6.30758;43.58767;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
La Bastide de Tourtour Hôtel & Spa ;La Bastide de Tourtour Hôtel & Spa ;TESLA Recharge à Destination;;La Bastide de Tourtour Hôtel & Spa ;Route de Flayosc, Tourtour,  83690 France;83149;6.30758;43.58767;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
La Côte Saint Jacques & Spa;La Côte Saint Jacques & Spa;TESLA Recharge à Destination;;La Côte Saint Jacques & Spa;14 Faubourg de Paris, Joigny, Bourgogne 89300 France;89206;3.385155;47.98365;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
La Côte Saint Jacques & Spa;La Côte Saint Jacques & Spa;TESLA Recharge à Destination;;La Côte Saint Jacques & Spa;14 Faubourg de Paris, Joigny, Bourgogne 89300 France;89206;3.385155;47.98365;2;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
