n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilite;observations;date_maj
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33433*001;SAINT LOUBES - Parking Mairie;Parking Mairie 33450 SAINT LOUBES;33433;-0,426205694;44,9160785;2;FR*S33*E33433*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33433*001;SAINT LOUBES - Parking Mairie;Parking Mairie 33450 SAINT LOUBES;33433;-0,426205694;44,9160785;2;FR*S33*E33433*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33349*001;QUINSAC - Rue Henri Chivaley Centre Bourg;Rue Henri Chivaley Centre Bourg 33360 QUINSAC;33349;-0,488296151;44,75591448;2;FR*S33*E33349*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33349*001;QUINSAC - Rue Henri Chivaley Centre Bourg;Rue Henri Chivaley Centre Bourg 33360 QUINSAC;33349;-0,488296151;44,75591448;2;FR*S33*E33349*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33236*001;LEGE - CAP-FERRET - Avenue Du Monument Saliens (Parking - Cap-Ferret);Avenue Du Monument Saliens (Parking - Cap-Ferret) 33950 LEGE - CAP-FERRET;33236;-1,245857924;44,65079718;2;FR*S33*E33236*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33236*001;LEGE - CAP-FERRET - Avenue Du Monument Saliens (Parking - Cap-Ferret);Avenue Du Monument Saliens (Parking - Cap-Ferret) 33950 LEGE - CAP-FERRET;33236;-1,245857924;44,65079718;2;FR*S33*E33236*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33159*001;ETAULIERS - Mairie;Mairie 33820 ETAULIERS;33159;-0,57348126;45,22411585;2;FR*S33*E33159*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33159*001;ETAULIERS - Mairie;Mairie 33820 ETAULIERS;33159;-0,57348126;45,22411585;2;FR*S33*E33159*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33009*002;ARCACHON - Place Peyneau;Place Peyneau 33120 ARCACHON;33009;-1,16312116;44,6635273;2;FR*S33*E33009*002*1;22;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33009*002;ARCACHON - Place Peyneau;Place Peyneau 33120 ARCACHON;33009;-1,16312116;44,6635273;2;FR*S33*E33009*002*2;22;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33350*001;RAUZAN - Place Du Champs De Foire;Place Du Champs De Foire 33620 RAUZAN;33350;-0,126183863;44,77847257;2;FR*S33*E33350*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33350*001;RAUZAN - Place Du Champs De Foire;Place Du Champs De Foire 33620 RAUZAN;33350;-0,126183863;44,77847257;2;FR*S33*E33350*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33019*001;AUDENGE - Parking Mairie;Parking Mairie 33980 AUDENGE;33019;-1,01597602;44,68396233;2;FR*S33*E33019*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33019*001;AUDENGE - Parking Mairie;Parking Mairie 33980 AUDENGE;33019;-1,01597602;44,68396233;2;FR*S33*E33019*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33009*003;ARCACHON - Gare Sncf;Gare Sncf 33120 ARCACHON;33009;-1,166089754;44,6594936;4;FR*S33*E33009*003*3;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33009*003;ARCACHON - Gare Sncf;Gare Sncf 33120 ARCACHON;33009;-1,166089754;44,6594936;4;FR*S33*E33009*003*4;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33009*003;ARCACHON - Gare Sncf;Gare Sncf 33120 ARCACHON;33009;-1,166089754;44,6594936;4;FR*S33*E33009*003*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33009*003;ARCACHON - Gare Sncf;Gare Sncf 33120 ARCACHON;33009;-1,166089754;44,6594936;4;FR*S33*E33009*003*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33073*001;BRAUD ET SAINT LOUIS - Av De La Republique - Parking Cdc Estuaire;Av De La Republique - Parking Cdc Estuaire 33820 BRAUD ET SAINT LOUIS;33073;-0,624000337;45,25166816;2;FR*S33*E33073*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33073*001;BRAUD ET SAINT LOUIS - Av De La Republique - Parking Cdc Estuaire;Av De La Republique - Parking Cdc Estuaire 33820 BRAUD ET SAINT LOUIS;33073;-0,624000337;45,25166816;2;FR*S33*E33073*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33414*001;SAINT GERMAIN LA RIVIERE - Parking Maison Du Fronsadais;Parking Maison Du Fronsadais 33240 SAINT GERMAIN LA RIVIERE;33414;-0,32744139;44,94613979;2;FR*S33*E33414*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33414*001;SAINT GERMAIN LA RIVIERE - Parking Maison Du Fronsadais;Parking Maison Du Fronsadais 33240 SAINT GERMAIN LA RIVIERE;33414;-0,32744139;44,94613979;2;FR*S33*E33414*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33238*001;LEOGNAN - Place Mairie;Place Mairie 33850 LEOGNAN;33238;-0,59814468;44,72755936;2;FR*S33*E33238*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33238*001;LEOGNAN - Place Mairie;Place Mairie 33850 LEOGNAN;33238;-0,59814468;44,72755936;2;FR*S33*E33238*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
