,Départements,Année,Essence + Superéthanol < 6CV,Essence + Superéthanol 6 à 7CV,Essence + Superéthanol 8CV et +,Hybride essence < 6CV,Hybride essence 6CV et +,Gazole < 6CV,Gazole 6CV et +,Essence-GPL < 6CV,Essence-GPL 6CV et +,Electricité,Total,Hybride gazole
531,Loire,2011,4226.0,1005.0,397.0,40.0,6.0,7562.0,7991.0,136.0,0.0,7.0,21390.0,0.0
532,Loire,2012,3355.0,925.0,373.0,17.0,67.0,6267.0,6733.0,22.0,2.0,16.0,17885.0,106.0
533,Loire,2013,4045.0,1153.0,366.0,168.0,15.0,5910.0,5369.0,20.0,19.0,74.0,17273.0,133.0
534,Loire,2014,4443.0,1166.0,390.0,120.0,14.0,5731.0,5174.0,9.0,3.0,83.0,17229.0,90.0
535,Loire,2015,5163.0,1651.0,524.0,153.0,53.0,4932.0,5151.0,8.0,4.0,128.0,17970.0,203.0
536,Loire,2016,5441.0,2331.0,770.0,172.0,91.0,4058.0,5122.0,0.0,1.0,177.0,18211.0,47.0
537,Loire,2017,5918.0,2762.0,938.0,325.0,88.0,3415.0,5410.0,12.0,4.0,187.0,19069.0,7.0
538,Loire,2018,6751.0,3639.0,893.0,565.0,172.0,2411.0,4777.0,18.0,7.0,295.0,19566.0,33.0
539,Loire,2019,6993.0,3234.0,1412.0,470.0,296.0,1923.0,4686.0,15.0,9.0,281.0,19479.0,159.0
540,Loire-Atlantique,2010,8499.0,1653.0,604.0,116.0,48.0,14088.0,13319.0,1947.0,0.0,0.0,40280.0,0.0
541,Loire-Atlantique,2011,8787.0,1809.0,610.0,218.0,31.0,13375.0,14238.0,344.0,3.0,26.0,39489.0,0.0
542,Loire-Atlantique,2012,6167.0,1763.0,579.0,87.0,249.0,9505.0,11651.0,57.0,2.0,44.0,30305.0,140.0
543,Loire-Atlantique,2013,8199.0,2278.0,562.0,555.0,56.0,11119.0,10186.0,48.0,18.0,118.0,33352.0,172.0
544,Loire-Atlantique,2014,8444.0,2406.0,624.0,498.0,90.0,8333.0,8278.0,45.0,19.0,150.0,29007.0,97.0
545,Loire-Atlantique,2015,8636.0,3219.0,949.0,539.0,190.0,7435.0,7922.0,29.0,10.0,301.0,29481.0,236.0
546,Loire-Atlantique,2016,8994.0,4259.0,1362.0,663.0,267.0,6404.0,8218.0,1.0,1.0,546.0,30814.0,73.0
547,Loire-Atlantique,2017,9587.0,5714.0,1734.0,1017.0,404.0,6320.0,8517.0,9.0,21.0,521.0,33896.0,29.0
548,Loire-Atlantique,2018,12168.0,6822.0,1806.0,1620.0,587.0,4358.0,8286.0,34.0,37.0,562.0,36335.0,52.0
549,Loire-Atlantique,2019,12781.0,6528.0,2747.0,1645.0,829.0,3256.0,9214.0,25.0,36.0,849.0,38095.0,170.0
550,Loiret,2010,3908.0,954.0,374.0,65.0,22.0,6846.0,7805.0,773.0,0.0,0.0,20750.0,0.0
551,Loiret,2011,4011.0,1116.0,473.0,116.0,26.0,6046.0,8330.0,122.0,0.0,8.0,20251.0,0.0
552,Loiret,2012,3024.0,984.0,376.0,38.0,135.0,4715.0,6986.0,13.0,1.0,26.0,16384.0,79.0
553,Loiret,2013,3501.0,1190.0,431.0,272.0,47.0,4631.0,5717.0,13.0,18.0,184.0,16126.0,120.0
554,Loiret,2014,3731.0,1301.0,410.0,239.0,51.0,4476.0,5226.0,17.0,6.0,194.0,15728.0,76.0
555,Loiret,2015,4435.0,1671.0,570.0,258.0,68.0,4118.0,5156.0,17.0,12.0,255.0,16717.0,157.0
556,Loiret,2016,4688.0,2368.0,849.0,308.0,141.0,3268.0,5099.0,2.0,2.0,332.0,17083.0,25.0
557,Loiret,2017,4808.0,3054.0,1002.0,518.0,152.0,2920.0,5347.0,5.0,5.0,335.0,18164.0,14.0
558,Loiret,2018,5382.0,3493.0,1082.0,638.0,224.0,2131.0,4793.0,10.0,10.0,282.0,18067.0,22.0
559,Loiret,2019,5929.0,3253.0,1582.0,544.0,334.0,1419.0,5124.0,7.0,5.0,372.0,18678.0,109.0
560,Lot,2010,903.0,172.0,82.0,14.0,3.0,1925.0,1755.0,285.0,0.0,0.0,5139.0,0.0
561,Lot,2011,806.0,196.0,92.0,16.0,2.0,1650.0,1902.0,47.0,1.0,1.0,4714.0,0.0
562,Lot,2012,653.0,174.0,73.0,5.0,32.0,1472.0,1599.0,5.0,0.0,6.0,4047.0,28.0
563,Lot,2013,665.0,203.0,83.0,62.0,1.0,1435.0,1280.0,4.0,1.0,16.0,3777.0,27.0
564,Lot,2014,811.0,264.0,67.0,57.0,4.0,1419.0,1095.0,5.0,2.0,18.0,3759.0,17.0
565,Lot,2015,1054.0,355.0,108.0,59.0,8.0,1219.0,1130.0,1.0,1.0,48.0,4021.0,38.0
566,Lot,2016,1095.0,540.0,179.0,88.0,28.0,1163.0,1195.0,1.0,0.0,55.0,4351.0,7.0
567,Lot,2017,1127.0,675.0,206.0,148.0,22.0,929.0,1213.0,0.0,0.0,61.0,4384.0,3.0
568,Lot,2018,1424.0,791.0,187.0,192.0,39.0,652.0,1065.0,3.0,3.0,87.0,4449.0,6.0
569,Lot,2019,1389.0,688.0,235.0,128.0,63.0,524.0,1010.0,0.0,1.0,116.0,4168.0,14.0
570,Lot-et-Garonne,2010,1638.0,287.0,152.0,19.0,8.0,3746.0,3644.0,411.0,3.0,0.0,9909.0,0.0
571,Lot-et-Garonne,2011,1552.0,334.0,133.0,33.0,5.0,3367.0,3708.0,80.0,3.0,5.0,9220.0,0.0
572,Lot-et-Garonne,2012,1309.0,287.0,122.0,15.0,57.0,2716.0,3403.0,8.0,2.0,9.0,7970.0,42.0
573,Lot-et-Garonne,2013,1524.0,359.0,115.0,79.0,6.0,2698.0,2581.0,7.0,9.0,32.0,7453.0,43.0
574,Lot-et-Garonne,2014,1695.0,449.0,121.0,104.0,11.0,2486.0,2403.0,12.0,9.0,26.0,7367.0,51.0
575,Lot-et-Garonne,2015,2210.0,627.0,172.0,101.0,24.0,2259.0,2725.0,1.0,3.0,83.0,8251.0,46.0
576,Lot-et-Garonne,2016,2541.0,949.0,271.0,163.0,62.0,2054.0,2804.0,1.0,0.0,138.0,9007.0,21.0
577,Lot-et-Garonne,2017,2993.0,1390.0,486.0,280.0,72.0,1988.0,2922.0,2.0,1.0,130.0,10272.0,6.0
578,Lot-et-Garonne,2018,3360.0,1685.0,496.0,365.0,88.0,1482.0,2565.0,6.0,6.0,211.0,10282.0,18.0
579,Lot-et-Garonne,2019,3636.0,1745.0,733.0,325.0,176.0,1151.0,2660.0,3.0,3.0,168.0,10670.0,65.0
580,Lozère,2010,319.0,61.0,35.0,3.0,0.0,972.0,744.0,80.0,0.0,0.0,2215.0,0.0
581,Lozère,2011,282.0,69.0,22.0,8.0,0.0,823.0,809.0,13.0,0.0,0.0,2026.0,0.0
582,Lozère,2012,191.0,52.0,28.0,4.0,9.0,598.0,591.0,0.0,0.0,1.0,1489.0,15.0
583,Lozère,2013,256.0,66.0,22.0,23.0,1.0,585.0,540.0,0.0,1.0,5.0,1511.0,12.0
584,Lozère,2014,301.0,83.0,24.0,17.0,0.0,537.0,464.0,3.0,3.0,3.0,1443.0,8.0
585,Lozère,2015,410.0,105.0,35.0,23.0,1.0,478.0,544.0,1.0,0.0,13.0,1629.0,19.0
586,Lozère,2016,436.0,153.0,56.0,22.0,7.0,395.0,445.0,0.0,0.0,9.0,1526.0,3.0
587,Lozère,2017,437.0,256.0,59.0,37.0,11.0,303.0,493.0,0.0,1.0,36.0,1634.0,1.0
588,Lozère,2018,535.0,322.0,71.0,49.0,12.0,251.0,459.0,0.0,1.0,25.0,1726.0,1.0
589,Lozère,2019,498.0,250.0,90.0,29.0,18.0,187.0,428.0,0.0,0.0,26.0,1530.0,4.0
590,Maine-et-Loire,2010,3499.0,722.0,269.0,72.0,15.0,6067.0,6509.0,986.0,0.0,0.0,18141.0,0.0
591,Maine-et-Loire,2011,3464.0,805.0,297.0,101.0,17.0,5780.0,7066.0,127.0,2.0,9.0,17670.0,0.0
592,Maine-et-Loire,2012,2653.0,774.0,278.0,34.0,137.0,4712.0,6155.0,15.0,3.0,70.0,14891.0,58.0
593,Maine-et-Loire,2013,2956.0,959.0,236.0,310.0,26.0,4155.0,4888.0,35.0,8.0,57.0,13709.0,78.0
594,Maine-et-Loire,2014,3290.0,1032.0,221.0,315.0,24.0,4536.0,4489.0,26.0,8.0,106.0,14099.0,52.0
595,Maine-et-Loire,2015,3841.0,1482.0,416.0,311.0,70.0,4013.0,4365.0,17.0,7.0,206.0,14863.0,134.0
596,Maine-et-Loire,2016,4111.0,2017.0,594.0,343.0,124.0,3511.0,4643.0,2.0,3.0,274.0,15663.0,26.0
597,Maine-et-Loire,2017,4234.0,2700.0,808.0,551.0,175.0,3442.0,5233.0,9.0,3.0,323.0,17490.0,9.0
598,Maine-et-Loire,2018,5701.0,3131.0,837.0,771.0,245.0,2658.0,4802.0,21.0,13.0,369.0,18584.0,33.0
599,Maine-et-Loire,2019,6234.0,3115.0,1128.0,700.0,351.0,1888.0,5354.0,10.0,19.0,462.0,19380.0,114.0
600,Manche,2010,2521.0,464.0,172.0,36.0,11.0,4687.0,4438.0,703.0,0.0,0.0,13032.0,0.0
601,Manche,2011,2390.0,581.0,184.0,53.0,9.0,4009.0,5056.0,109.0,2.0,6.0,12399.0,0.0
602,Manche,2012,1921.0,506.0,157.0,14.0,95.0,3408.0,4495.0,17.0,1.0,39.0,10718.0,64.0
603,Manche,2013,2067.0,593.0,170.0,147.0,11.0,3559.0,3790.0,15.0,6.0,53.0,10479.0,68.0
604,Manche,2014,2502.0,672.0,172.0,149.0,15.0,3433.0,3383.0,8.0,11.0,72.0,10461.0,44.0
605,Manche,2015,2859.0,953.0,271.0,151.0,21.0,2919.0,3342.0,4.0,4.0,160.0,10770.0,80.0
606,Manche,2016,3248.0,1234.0,454.0,179.0,67.0,2596.0,3253.0,0.0,1.0,217.0,11270.0,21.0
607,Manche,2017,3335.0,1772.0,501.0,312.0,88.0,2304.0,3329.0,0.0,0.0,187.0,11842.0,10.0
608,Manche,2018,4442.0,2338.0,488.0,475.0,119.0,1807.0,3123.0,8.0,3.0,226.0,13043.0,14.0
609,Manche,2019,4508.0,2115.0,712.0,406.0,183.0,1267.0,3188.0,6.0,4.0,293.0,12738.0,56.0
610,Marne,2010,3119.0,786.0,414.0,43.0,44.0,6902.0,8636.0,585.0,1.0,0.0,20531.0,0.0
611,Marne,2011,3166.0,866.0,449.0,76.0,17.0,5974.0,9378.0,83.0,2.0,12.0,20026.0,0.0
612,Marne,2012,2702.0,821.0,377.0,32.0,131.0,5031.0,7991.0,17.0,3.0,28.0,17217.0,84.0
613,Marne,2013,2968.0,970.0,422.0,252.0,32.0,4758.0,6567.0,5.0,13.0,53.0,16189.0,146.0
614,Marne,2014,3210.0,1041.0,402.0,240.0,38.0,4762.0,5935.0,11.0,6.0,51.0,15796.0,100.0
615,Marne,2015,3964.0,1433.0,565.0,245.0,83.0,4106.0,5806.0,10.0,8.0,120.0,16501.0,161.0
616,Marne,2016,4267.0,1930.0,804.0,303.0,164.0,3759.0,5959.0,1.0,2.0,142.0,17383.0,52.0
617,Marne,2017,4385.0,2668.0,1006.0,521.0,235.0,3199.0,5883.0,0.0,6.0,176.0,18094.0,15.0
618,Marne,2018,5250.0,3526.0,1113.0,671.0,310.0,2331.0,5292.0,6.0,12.0,202.0,18735.0,22.0
