,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
37,2018-02-28,22231.734380751517,20076.54470925068,22311.90730880067,22231.734380751517,22231.734380751517,-1017.5866411910616,-1017.5866411910616,-1017.5866411910616,-1017.5866411910616,-1017.5866411910616,-1017.5866411910616,0.0,0.0,0.0,21214.147739560456
38,2018-03-31,22659.526630907192,22411.53318927845,24719.71547640186,22659.526630907192,22659.526630907192,868.4748602899384,868.4748602899384,868.4748602899384,868.4748602899384,868.4748602899384,868.4748602899384,0.0,0.0,0.0,23528.00149119713
39,2018-04-30,23073.51913170804,22472.35539850803,24773.304699203352,23073.51913170804,23073.51913170804,518.6225939218174,518.6225939218174,518.6225939218174,518.6225939218174,518.6225939218174,518.6225939218174,0.0,0.0,0.0,23592.141725629856
40,2018-05-31,23501.31138234006,22904.735813087624,25269.62497898852,23501.31138234006,23501.31138234006,591.7794984630457,591.7794984630457,591.7794984630457,591.7794984630457,591.7794984630457,591.7794984630457,0.0,0.0,0.0,24093.090880803105
41,2018-06-30,23915.303882951695,22740.590063369586,25050.176282434037,23915.303882951695,23915.303882951695,-22.18461941040421,-22.18461941040421,-22.18461941040421,-22.18461941040421,-22.18461941040421,-22.18461941040421,0.0,0.0,0.0,23893.11926354129
42,2018-07-31,24343.108984779014,23813.77328810579,26116.311185118902,24343.108984779014,24343.108984779014,612.3655667223701,612.3655667223701,612.3655667223701,612.3655667223701,612.3655667223701,612.3655667223701,0.0,0.0,0.0,24955.474551501382
43,2018-08-31,24770.91408660633,23114.8923367693,25461.300904821735,24770.91408660633,24770.91408660633,-488.88743924689095,-488.88743924689095,-488.88743924689095,-488.88743924689095,-488.88743924689095,-488.88743924689095,0.0,0.0,0.0,24282.026647359442
44,2018-09-30,25184.920903648093,24010.712790274385,26146.702615257986,25184.92090364809,25184.92090364809,-63.87718697851293,-63.87718697851293,-63.87718697851293,-63.87718697851293,-63.87718697851293,-63.87718697851293,0.0,0.0,0.0,25121.04371666958
45,2018-10-31,25612.727947924574,23914.448258339784,26296.328858629513,25612.727947924574,25612.727947924574,-498.9564724068242,-498.9564724068242,-498.9564724068242,-498.9564724068242,-498.9564724068242,-498.9564724068242,0.0,0.0,0.0,25113.771475517748
46,2018-11-30,26026.734876846953,24712.616349031516,26851.11171419474,26026.734876846953,26026.734876846953,-321.7761589507861,-321.7761589507861,-321.7761589507861,-321.7761589507861,-321.7761589507861,-321.7761589507861,0.0,0.0,0.0,25704.958717896166
47,2018-12-31,26454.542036733415,24559.52446699562,26759.946019631465,26454.542036733415,26454.542036733415,-834.1746479317279,-834.1746479317279,-834.1746479317279,-834.1746479317279,-834.1746479317279,-834.1746479317279,0.0,0.0,0.0,25620.36738880169
48,2019-01-31,26882.349196818825,25568.410350657836,27814.111918022765,26882.349196818825,26882.349196818825,-169.0289928489555,-169.0289928489555,-169.0289928489555,-169.0289928489555,-169.0289928489555,-169.0289928489555,0.0,0.0,0.0,26713.32020396987
49,2019-02-28,27268.755663992746,24638.389381718283,26957.235045988728,27268.755663992742,27268.755663992742,-1454.546037457477,-1454.546037457477,-1454.546037457477,-1454.546037457477,-1454.546037457477,-1454.546037457477,0.0,0.0,0.0,25814.20962653527
50,2019-03-31,27696.56282407816,27781.163934210952,30036.202612131943,27696.56282407816,27696.56282407816,1185.0406385409017,1185.0406385409017,1185.0406385409017,1185.0406385409017,1185.0406385409017,1185.0406385409017,0.0,0.0,0.0,28881.60346261906
51,2019-04-30,28110.56975319307,27651.668277508936,29954.542642595596,28110.56975319307,28110.56975319307,698.9692016841253,698.9692016841253,698.9692016841253,698.9692016841253,698.9692016841253,698.9692016841253,0.0,0.0,0.0,28809.538954877196
52,2019-05-31,28538.376913278484,28102.317059999797,30325.661481486764,28538.376913278487,28538.376913278487,693.9756681690985,693.9756681690985,693.9756681690985,693.9756681690985,693.9756681690985,693.9756681690985,0.0,0.0,0.0,29232.352581447583
53,2019-06-30,28952.383842393396,27494.192073425198,29636.281096340725,28952.383842393396,28952.383842393396,-386.9971942471366,-386.9971942471366,-386.9971942471366,-386.9971942471366,-386.9971942471366,-386.9971942471366,0.0,0.0,0.0,28565.38664814626
54,2019-07-31,29380.19100247881,28949.328374581055,31177.049280044426,29380.19100247881,29380.19100247881,718.2267663281065,718.2267663281065,718.2267663281065,718.2267663281065,718.2267663281065,718.2267663281065,0.0,0.0,0.0,30098.417768806914
55,2019-08-31,29807.998162564218,28092.80808945422,30316.093660599272,29807.998162564218,29807.998162564218,-676.7038518155069,-676.7038518155069,-676.7038518155069,-676.7038518155069,-676.7038518155069,-676.7038518155069,0.0,0.0,0.0,29131.29431074871
